day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2023-07-01 07:00:00.000 UTC,1350,2.6178285348643795e+07,21549.92129841486,12,226651.74765234804,666.9805904983771
2023-06-26 14:00:00.000 UTC,2018,6.6644135826859236e+07,52886.48335767241,15,1.922737539566862e+07,643845.5578143466
2023-06-24 16:00:00.000 UTC,2272,3.807005761614032e+07,50189.898441844736,18,4.160238946059408e+06,3.794891445003581e+06
2023-06-17 00:00:00.000 UTC,1303,7.780943935175392e+06,12382.887323874527,16,1.1046712524790859e+07,-1.4550553785238608e+06
2023-05-25 21:00:00.000 UTC,3540,1.491372060346866e+07,51165.50068621875,10,2.042480703661449e+07,-66601.14538251798
2023-05-12 17:00:00.000 UTC,1654,1.6086256283703793e+07,40048.12994276496,14,2.0595327971589284e+06,1.756673997922172e+06
2023-04-26 05:00:00.000 UTC,1074,1.0226036100497244e+07,13660.481537568165,19,1.2638557738958108e+08,1.846351357106226e+06
2023-04-25 18:00:00.000 UTC,2065,4.320563899601959e+07,48165.17958449018,32,1.5534786892342782e+08,-6.798001232112196e+06
2023-04-22 19:00:00.000 UTC,2076,9.465611822965542e+06,23195.70374560284,25,1.2305214356860016e+06,285579.893374336
2023-04-03 15:00:00.000 UTC,1520,2.090489277359733e+07,24896.586136398168,24,8.088987896854353e+07,-4.037328977868514e+06
2023-03-10 11:00:00.000 UTC,4795,7.96172825675015e+07,84769.7272718555,38,1.2588636924080777e+08,216470.46069824364
2023-02-11 07:00:00.000 UTC,1862,2.5861833075383678e+07,25077.284931659015,56,6.4273719498161234e+07,-1.072179029805726e+06
2022-11-26 11:00:00.000 UTC,1376,2.8739741830088045e+07,25426.167547716654,44,1.24166229426479e+08,51924.465721092514
2022-11-25 23:00:00.000 UTC,1438,3.517721108039427e+07,26224.31213989726,31,2.2279960876538044e+08,-1.3376864111369392e+06
2022-11-13 09:00:00.000 UTC,3274,5.252489072988888e+07,66555.8753346656,54,1.1316236747950251e+08,916572.7388706648
2022-10-29 16:00:00.000 UTC,3208,8.841789345489018e+07,107167.06900062067,51,1.6088996260903168e+08,-5.511491453739613e+06
2022-10-15 02:00:00.000 UTC,868,8.0683697335742125e+06,8674.160876413167,18,3.892480428377838e+07,348594.52432240365
2022-08-05 22:00:00.000 UTC,1771,4.207296306131089e+07,48209.312480561755,47,5.941435976004786e+07,773916.6597145353
2022-07-25 08:00:00.000 UTC,1806,3.3428540869742233e+07,48875.7280859744,55,1.6200825136283293e+08,-2.3496226045570496e+07
2022-07-11 20:00:00.000 UTC,1071,3.2226837461297497e+07,43407.101246270795,11,2.5387389315312556e+06,-7.281301246890407e+06
2022-07-01 15:00:00.000 UTC,1116,3.870654315055667e+07,43484.32516901827,11,1.9379106868926894e+06,64089.562850606766
2022-06-25 16:00:00.000 UTC,1083,1.892032038174817e+07,27332.770267101798,15,1.4376866686167028e+06,117831.75627477285
2022-06-19 06:00:00.000 UTC,1923,5.3857441434016444e+07,57541.16714945473,38,1.2158457718216673e+07,9.094063446213275e+06
2022-06-06 06:00:00.000 UTC,1323,4.015344149437421e+07,53249.24452019469,23,3.058560812022623e+07,-1.1370076718147127e+06
2022-06-02 15:00:00.000 UTC,1322,4.677664913008702e+07,58951.05244342362,23,4.291300528886452e+07,3.7463761329370625e+06
2022-05-15 14:00:00.000 UTC,2168,4.303090451444538e+07,56463.31317189359,33,5.706086884135954e+07,1.738333484889424e+06
2022-04-03 20:00:00.000 UTC,1253,2.3330336988226306e+07,43954.442097827065,6,1.2708367262097886e+06,-499253.29133974167
2022-03-16 18:00:00.000 UTC,1915,2.330412091736937e+08,280661.65360756824,11,2.7741704492085325e+06,-1.2789307948266482e+06
2022-03-06 21:00:00.000 UTC,1169,5.055674418809362e+07,61294.08390819018,10,1.5262401195767415e+08,-1.536445198038295e+06
2022-02-24 09:00:00.000 UTC,1981,8.001431958303167e+07,98806.65058568412,8,2.777528139422927e+06,-1.8652509295367592e+06
2022-02-09 08:00:00.000 UTC,1406,5.486429457359921e+07,86354.91006162114,15,4.1805614378724396e+07,248983.58428691395
2022-01-25 14:00:00.000 UTC,1684,1.0224367863516304e+08,164634.97808943692,8,8.723065472593477e+06,7.958565989870873e+06
2022-01-20 06:00:00.000 UTC,1639,9.944589357729976e+07,128418.56239173289,16,648472.0458135019,345208.44996115146
2022-01-12 13:00:00.000 UTC,2186,1.3333046673081557e+08,293010.9144807448,16,3.040513868549154e+06,1.2287110729319053e+06
2022-01-07 12:00:00.000 UTC,1244,3.35469956067946e+07,72697.31190608766,14,1.1909888499951628e+06,-1.0869679707737248e+06
2021-12-22 20:00:00.000 UTC,1023,3.85723245533603e+07,81049.4482097638,6,479536.2499250502,-923046.2913071876
2021-12-20 11:00:00.000 UTC,1428,4.3454909872225985e+07,57907.10711322721,21,3.3863155753132425e+07,-195866.56217868434
2021-10-08 20:00:00.000 UTC,1557,7.673134600242281e+07,151718.64960420702,17,2.919300597320576e+06,959763.983430656
